,Date,max,min,mean,sum
4600,2012-03-10,23167379.273732305,1198.0976755946153,1737148.5318004673,76434535.39922056
4601,2012-03-11,14709831.819200322,522.7121608425753,1047163.0982818416,46075176.32440103
4602,2012-03-12,4433556.567011927,209.6024011299435,365553.207227275,15718787.910772827
4603,2012-03-13,5066749.8947217,257.4745544744368,425548.9307499015,18298604.022245765
4604,2012-03-14,4045132.2655105675,143.61646003347983,329107.3635898578,14151616.634363886
4605,2012-03-15,4436590.626460383,393.327962614215,350936.52390667505,15090270.527987028
4606,2012-03-16,17129806.692181945,5624.331096986818,1026375.5174606497,46186898.28572924
4607,2012-03-17,16729190.517681526,7431.82834623701,1241905.267479831,55885737.03659239
4608,2012-03-18,13110846.262289008,5397.908750087187,854087.8641242938,38433953.88559322
4609,2012-03-19,4667617.756974961,1883.8339262049244,271776.68374659977,11958174.08485039
4610,2012-03-20,5223052.475391471,2679.5467453093397,311930.1286907843,13724925.662394507
4611,2012-03-21,3894517.4141949154,2309.5079383762295,244328.26717494708,10750443.755697671
4612,2012-03-22,3615325.7220478486,2880.092252563298,235643.088219372,10368295.881652368
4613,2012-03-23,87028534.25163041,4095.0098739276004,2651854.645362524,108726040.45986348
4614,2012-03-24,65202414.97499041,7524.984968961429,2403557.722311004,98545866.61475118
4615,2012-03-25,45126204.04096918,5547.994420032085,1621220.7994050446,66470052.77560683
4616,2012-03-26,14004271.321737465,2213.763631687243,515656.5170526871,20626260.682107486
4617,2012-03-27,13388933.013383206,3199.6712221873477,526595.1747077056,21063806.988308225
4618,2012-03-28,10417633.95796279,2376.7877214549767,420920.1132678996,16836804.530715983
4619,2012-03-29,10575088.057996793,3090.988495675525,437260.65823710075,17490426.32948403
4620,2012-03-30,24133465.205063824,2447.949030480575,1493617.2433155219,61238306.9759364
4621,2012-03-31,32008192.481782284,4752.28160092767,1921736.4906048567,78791196.11479913
4622,2012-04-01,19555089.228372127,2176.1372492774412,1197986.7275444865,49117455.82932395
4623,2012-04-02,5833769.904665668,744.2982767238194,396331.6384312821,15456933.898820002
4624,2012-04-03,6867984.614651107,1120.9622226568442,479446.34591987747,19177853.8367951
4625,2012-04-04,5945053.461568551,1093.8733772301541,533767.9946375253,21350719.78550101
4626,2012-04-05,8255335.963343982,835.8843731664385,632784.3678889323,25311374.715557296
4627,2012-04-06,16511079.549314383,5242.336562574701,1583938.1098260789,61773586.28321707
4628,2012-04-07,16791721.277879912,6755.4420714083935,1502819.7518457784,58609970.32198536
4629,2012-04-08,9409287.239950454,3441.573314209966,899776.0776841111,35091267.029680334
4630,2012-04-09,5344522.137249278,2750.1627833192083,536215.9555512094,19839990.355394747
4631,2012-04-10,4248154.006349827,2895.9265706152073,465226.37638463813,17213375.92623161
4632,2012-04-11,3677226.9202468656,2514.102844600908,394579.64368644025,14599446.816398289
4633,2012-04-12,3652649.5977747357,3448.023039311559,378821.88449850207,14016409.726444576
4634,2012-04-13,8260195.186235522,1302.8444705217637,1189806.5883912467,45212650.35886738
4635,2012-04-14,12018750.560123434,2843.038824782146,1586174.4784555594,60274630.18131126
4636,2012-04-15,6934797.316978508,5999.534289501706,965986.9379707498,36707503.642888494
4637,2012-04-16,1801995.1458591393,2111.639998261512,268052.2593170882,9649881.335415173
4638,2012-04-17,2019970.0553925724,2259.9836755981487,307403.03545247775,11066509.276289199
4639,2012-04-18,1718244.1754699352,2523.1324597431385,245639.32126182836,8843015.56542582
4640,2012-04-19,1856460.4944520504,482.43943759914816,251864.84675252868,9067134.483091032
4641,2012-04-20,15641659.185509704,1231.8974944042418,1411727.2412887546,55057362.41026143
4642,2012-04-21,16982195.849525176,4505.777955972793,1781100.8810241257,69462934.3599409
4643,2012-04-22,10765126.521741966,1549.2239694026123,1173693.9182179607,45774062.810500465
4644,2012-04-23,3563636.941647652,721.0792663580851,337983.37564672047,12505384.898928657
4645,2012-04-24,3384482.9275007066,1319.6137557859051,383680.8633463896,14196191.943816416
4646,2012-04-25,2517512.169289611,589.5048742855902,295375.16681719857,10928881.172236348
4647,2012-04-26,2442824.3526131646,2293.5222461264316,308803.5293420939,11425730.585657476
4648,2012-04-27,7092033.875285221,1702.7274268205229,1007317.8820889175,42307351.047734536
4649,2012-04-28,9922855.63077993,3448.023039311559,1449096.7784247438,60862064.69383924
4650,2012-04-29,5693484.513870961,2105.1902731599193,856515.7231084373,35973660.370554365
4651,2012-04-30,1614082.4050242302,420.52207662385644,245034.5054567877,9801380.218271509
4652,2012-05-01,1733903.274490351,844.6151817766465,301298.9990952505,12051959.963810021
4653,2012-05-02,1319201.0946195854,883.3589974544743,228258.70576822665,9130348.230729066
4654,2012-05-03,1216406.0028631727,340.9455779648848,214888.66698899114,8595546.679559646
4655,2012-05-04,104368071.30102475,672.8509322716098,2935058.2355478476,123272445.8930096
4656,2012-05-05,89831398.11600636,1015.0879707590889,2744762.5422625653,115280026.77502775
4657,2012-05-06,73699432.82292715,1167.4803124252117,2155935.1385571007,90549275.81939822
4658,2012-05-07,24407311.12504841,16.78898679372539,734100.4170329396,29364016.681317583
4659,2012-05-08,22829393.03539804,25.829210451885213,730071.9965113244,29202879.860452976
4660,2012-05-09,17580535.86262864,9.040223658159825,569967.2786098602,22798691.14439441
4661,2012-05-10,16003218.302121272,18.08044731631965,529760.9484632204,21190437.938528817
4662,2012-05-11,37741018.53686227,498.50376172138465,1463059.7054241307,62911567.33323762
4663,2012-05-12,55410783.989917986,50.36696038117616,2039144.1136927633,87683196.88878882
4664,2012-05-13,39936141.1077867,322.8651306485651,1559292.2555519633,67049566.988734424
4665,2012-05-14,10233260.682866655,51.65842090377043,412460.4196469625,17323337.625172425
4666,2012-05-15,10948813.757317843,9.040223658159825,458813.76671639615,19270178.20208864
4667,2012-05-16,8187545.888340623,113.64852598829495,457427.98881527054,19669403.519056633
4668,2012-05-17,8017862.181737485,25.829210451885213,409971.4999085716,17628774.49606858
4669,2012-05-18,19676751.929430198,19.37190783891391,1453132.0760868296,55219018.89129953
4670,2012-05-19,30461768.45720689,154.97526271131127,1946136.7649172046,73953197.06685378
4671,2012-05-20,21723640.661571268,204.0507625698932,1376001.3296508521,52288050.52673238
4672,2012-05-21,7345742.216121664,49.07549985858191,521617.24012028484,19299837.88445054
4673,2012-05-22,6351098.065435243,104.60830233013512,496475.19137943507,18369582.081039097
4674,2012-05-23,5125039.6866262,58.11572351674173,392836.6362844145,14534955.542523336
4675,2012-05-24,5740757.696838763,67.15594717490156,425028.6633050909,15726060.542288365
4676,2012-05-25,22812886.878458764,483.0062354502535,1470618.964748385,58824758.58993539
4677,2012-05-26,24712848.729865327,322.8651306485651,1734066.1560113837,71096712.39646673
4678,2012-05-27,22978683.28888889,906.605286861171,1634739.4791448559,65389579.16579423
4679,2012-05-28,18935314.11172465,650.8961033875074,1299535.8960959904,51981435.843839616
4680,2012-05-29,7294905.164110264,440.3880382046429,516929.72439905687,20160259.251563217
4681,2012-05-30,5147389.702430216,668.9765507038271,397099.6060621782,15486884.636424951
4682,2012-05-31,5313784.059082306,269.9152492222005,416833.5533342594,16256508.580036117
4683,2012-06-01,26473112.0823129,1010.1118930790752,1444901.171209005,57796046.848360196
4684,2012-06-02,27205087.531593446,1317.9308822632236,1849624.9409167762,73984997.63667105
4685,2012-06-03,19031361.68129407,353.086487593582,1231871.7416835167,49274869.667340666
4686,2012-06-04,6953766.76816514,232.80427753422987,472562.7040402287,18429945.457568917
4687,2012-06-05,7197758.584591988,312.992417573798,519280.98431993154,20251958.38847733
4688,2012-06-06,5489583.065326524,161.66963717654852,420888.08038522664,16414635.135023838
4689,2012-06-07,5270223.234819896,311.69906047638557,423173.9398213917,16503783.653034277
4690,2012-06-08,27763548.779399335,799.2946862008558,2220611.7459144057,82162634.59883301
4691,2012-06-09,29190024.65606289,744.9736881095356,2303800.089908401,85240603.32661083
4692,2012-06-10,22112173.20797201,1068.3129624626326,1767893.8363466747,65412071.94482696
4693,2012-06-11,8185486.346386147,305.2322749893236,715194.6798404059,25747008.474254612
4694,2012-06-12,9234595.5426664,327.2193456453342,781762.9074061566,28143464.66662164
4695,2012-06-13,7441538.290454859,490.18233991929515,649576.3512095326,23384748.643543173
4696,2012-06-14,6998672.126587299,152.6161374946618,592126.5426666415,21316555.535999093
4697,2012-06-15,12975493.851079406,1189.8885296193973,1386876.8749993949,49927567.499978215
4698,2012-06-16,17262550.994587716,1359.31830938042,1766517.780132155,63594640.08475758
4699,2012-06-17,13807844.157975929,1103.233604092767,1458970.7911309097,52522948.48071275
4700,2012-06-18,5665996.973413574,1514.5211610699064,627931.2234594576,21349661.59762156
4701,2012-06-19,6508542.814308997,1621.8698001551347,678591.2221268937,23072101.552314386
4702,2012-06-20,5834340.3332127705,1376.131951646781,607226.7826449339,20645710.60992775
4703,2012-06-21,5747135.73091974,1420.1060929588023,571097.955286243,19417330.479732264
4704,2012-06-22,31862286.662738916,16257.49871447372,2060999.9727111098,72134999.04488884
4705,2012-06-23,30629431.51698638,23993.067514097216,2272694.7408564533,79544315.92997587
4706,2012-06-24,23288372.84607239,18656.6761301737,1683945.065294401,58938077.28530404
4707,2012-06-25,11573180.471709706,8696.533123000898,901617.2183533116,28851750.987305973
4708,2012-06-26,11545507.803253472,11213.406034565405,937386.2214045301,29996359.084944963
4709,2012-06-27,8838982.180352801,8258.0850669781,705325.4343619657,23275739.33394487
4710,2012-06-28,8589200.004200839,10189.067213414795,679170.5400558632,22412627.821843486
4711,2012-06-29,26622262.022786498,8630.571911032866,2623819.929235276,99705157.31094049
4712,2012-06-30,23124300.15140885,10906.88040247867,2515367.34179598,95583958.98824725
4713,2012-07-01,20665409.612119388,8965.937028598366,1952966.629999683,74212731.93998796
4714,2012-07-02,11308279.98064198,5356.761972728543,1102828.6789575429,39701832.44247154
4715,2012-07-03,45363267.863276064,6158.656933095886,2355219.0446274765,84787885.60658915
4716,2012-07-04,30230954.205186293,6566.729489664082,1932517.302817716,69570622.90143777
4717,2012-07-05,20487523.659634925,6389.250314267757,1591764.8925572336,58895301.02461764
4718,2012-07-06,26531244.042369403,1199.6037694671415,2117182.6683219196,84687306.73287678
